timID,treatment,site,phenotype,size,sex,age,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr
2,twice,FHA,grey,10,M,young,sit,sit,sit,sit,sit,run,sit,run,sit,sit,0,0,0,0,0,0,0,0,0,0
3,twice,FHA,striped,13,F,young,sit,sit,sit,sit,run,sit,sit,sit,run,run,0,0,0,0,0,0,0,0,0,0
4,twice,FHA,striped,9,F,young,sit,sit,sit,sit,sit,sit,sit,run,sit,sit,0,0,0,0,0,0,0,0,0,0
5,twice,FHA,striped,16,F,young,run,run,run,run,sit,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
6,twice,FHA,striped,9,F,young,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,0,0,0,0,0,0,0,0,0,0
7,twice,FHA,striped,13,F,young,run,sit,sit,sit,sit,sit,run,run,sit,run,0,0,0,0,0,0,0,0,0,0
8,twice,FHA,striped,19,M,young,sit,sit,sit,run,sit,sit,sit,run,run,run,0,0,0,0,0,0,0,0,0,0
9,twice,FHA,striped,9,F,young,sit,run,run,run,run,sit,sit,sit,sit,run,0,0,0,0,0,0,0,0,0,0
10,twice,FHA,striped,11,F,young,sit,sit,sit,sit,sit,run,run,run,run,sit,0,0,0,0,0,0,0,0,0,0
11,twice,FHA,striped,9,F,young,sit,sit,sit,sit,sit,sit,sit,run,run,sit,0,0,0,0,0,0,0,0,0,0
12,twice,FHA,striped,10,M,young,run,run,run,run,run,run,run,run,run,run,0,0,0,0,0,0,0,0,0,0
14,twice,FHA,striped,9,M,young,sit,run,sit,sit ,sit,sit,sit,sit,sit,run,0,0,0,1,0,0,0,0,0,0
15,twice,FHA,striped,7,M,young,sit,sit,sit,sit,sit,sit,run,run,run,run,0,0,0,0,0,0,0,0,0,0
16,twice,FHA,striped,12,F,young,sit,sit,sit,sit,sit,0.1,192,sit,sit,0.1,0,0,0,0,0,1,1,0,0,1
