timID,treatment,site,phenotype,length.28mar,sex,adult.28mar,feed.shmp.28mar,feed.shmp.31mar,t1drop?.1apr,t1beh.1apr,t2beh.1apr,t3beh.1apr,t4beh.1apr,t5beh.1apr,notes.1apr,drop.2apr,t1beh.2apr,t2beh.2apr,t3beh.2apr,t4beh.2apr,t5beh.2apr,notes.2apr,feed.shmp.9apr,feed.shmp.13apr,feed.shmp.15apr,t1beh.16apr,t2beh.16apr,t3beh.16apr,t4beh.16apr,t5beh.16apr,t1beh.17apr,t2beh.17apr,t3beh.17apr,t4beh.17apr,t5beh.17apr,length.18apr,notes.18apr,smp.24apr,latency.24apr
2,twice,FHA,grey,10,M,N,N,N,NA,sit,sit,sit,sit,sit,,N,run,sit,run,sit,sit,,N,,Y,run,sit,run,run,sit,sit,sit,sit,sit,sit,15,,,
3,twice,FHA,striped,13,F,N,N,N,Y,sit,sit,sit,sit,run,,N,sit,sit,sit,run,run,,N,,N,sit,sit,sit,0.5,0.5,run,run,sit,sit,run,23,,,
4,twice,FHA,striped,9,F,N,N,N,N,sit,sit,sit,sit,sit,,N,sit,sit,run,sit,sit,,N,,N,sit,run,run,run,run,sit,run,sit,sit,sit,13,,,
5,twice,FHA,striped,16,F,N,N,N,N,run,run,run,run,sit,,N,run,run,run,run,run,,N,,N,sit,run,run,sit,run,sit,run,sit,run,sit,23,,,
6,twice,FHA,striped,9,F,N,N,N,Y,sit,sit,sit,sit,sit,,NA,sit,sit,sit,sit,sit,short shrimp,N,,N,run,run,run,run,run,run,run,run,run,run,14,,,
7,twice,FHA,striped,13,F,N,N,N,Y,run,sit,sit,sit,sit,,N,sit,run,run,sit,run,,N,,N,sit,run,run,run,run,sit,sit,run,sit,sit,22,,,
8,twice,FHA,striped,19,M,N,N,N,N,sit,sit,sit,run,sit,,Y,sit,sit,run,run,run,,N,,N,sit,sit,run,run,run,run,run,sit,run,run,14,,,
9,twice,FHA,striped,9,F,N,N,N,Y,sit,run,run,run,run,,Y,sit,sit,sit,sit,run,,N,,N,run,sit,run,run,run,sit,sit,sit,sit,sit,15,,,
10,twice,FHA,striped,11,F,N,N,N,N,sit,sit,sit,sit,sit,,N,run,run,run,run,sit,,N,,Y,sit,300,0.5,227,sit,sit,sit,run,sit,run,19,,,
11,twice,FHA,striped,9,F,N,N,N,N,sit,sit,sit,sit,sit,,N,sit,sit,run,run,sit,,N,Y,Y,sit,sit,107,85,0.5,sit,sit,run,run,sit,16,,,
12,twice,FHA,striped,10,M,N,N,N,N,run,run,run,run,run,,N,run,run,run,run,run,,N,,N,run,run,run,run,run,run,0.5,run,run,run,14,,,
13,twice,FHA,striped,10,F,N,N,N,N,sit,sit,sit,run,sit,,NA,NA,NA,NA,NA,NA,injured,N,,N,sit,run,run,run,run,sit,0.5,run,sit,run,19,,,
14,twice,FHA,striped,9,M,N,Y,N,Y,sit,run,sit,sit ,sit,,Y,sit,sit,sit,sit,run,,Y,Y,N,sit,run,run,run,run,sit,sit,sit,sit,sit,14,,,
15,twice,FHA,striped,7,M,N,N,N,Y,sit,sit,sit,sit,sit,,N,sit,run,run,run,run,,N,,N,sit,run,run,run,run,run,run,run,sit,run,14,,,
16,twice,FHA,striped,12,F,N,N,N,N,sit,sit,sit,sit,sit,,Y,0.1,192,sit,sit,0.1,short shrimp,N,,N,sit,run,run,run,run,run,run,run,run,run,20,,,
17,twice,FHA,striped,7,F,N,N,Y,N,16,sit,sit,25,run,,N,10,run,run,run,run,,N,,N,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,13,,,
18,twice,FHA,striped,9,M,N,N,N,Y,sit,sit,sit,run,sit,,Y,60,run,sit,run,run,,N,,N,run,run,run,sit,run,run,run,run,run,run,14,,,
21,twice,FHA,striped,10,M,N,N,N,Y,sit,run,sit,sit,sit,,N,run,sit,sit,99,run,,N,,N,run,sit,run,run,run,sit,sit,run,run,sit,15,,,
22,twice,FHA,striped,11,F,N,N,N,N,sit,sit,run,run,sit,,N,0.1,sit,sit,sit,sit,,N,,N,run,run,run,run,run,sit,sit,sit,run,run,18,,,
23,twice,FHA,striped,12,F,N,N,N,Y,run,run,run,run,run,,N,sit,sit,sit,sit,sit,,N,,N,sit,sit,sit,sit,sit,0.5,0.5,0.5,run,0.5,21,,,
24,twice,FHA,striped,11,F,N,N,N,Y,25,sit,run,run,run,,,,,,,,dead,dead,,N,,,,,,,,,,,,,,
25,twice,FHA,striped,11,F,N,Y,N,N,run,run,run,run,run,,N,sit,sit,sit,sit,sit,,N,,N,sit,sit,sit,run,run,0.5,run,run,run,run,25,nematode,,
27,twice,FHA,striped,7,F,N,N,N,Y,run,sit,sit,sit,sit,,N,sit,sit,run,run,run,,N,,Y,sit,sit,sit,sit,sit,sit,run,run,run,run,14,,,
28,twice,FHA,green,7,M,N,N,N,N,sit,sit,sit,sit,sit,,Y,sit,sit,sit,sit,sit,,N,,N,sit,sit,run,run,run,sit,sit,sit,0.5,sit,12,,,
30,twice,FHA,striped,9,F,N,N,N,N,sit,sit,sit,sit,sit,,N,sit,sit,run,run,run,,Y,,N,sit,sit,sit,run,sit,sit,sit,0.5,sit,sit,20,,,
32,twice,FHA,striped,9,F,N,N,N,Y,sit,sit,sit,sit,sit,"short shrimps, .5 seconds or less",Y,sit,sit,sit,sit,sit,,N,,N,sit,sit,sit,run,sit,sit,0.5,run,run,run,12,,,
33,twice,FHA,striped,12,F,N,N,N,Y,sit,sit,sit,sit,sit,,N,run,run,sit,sit,sit,,N,,N,sit,run,run,run,run,sit,run,run,run,run,19,,,
34,twice,FHA,striped,9,F,N,N,N,N,sit,58,36,sit,26,,N,sit,sit,run,sit,sit,,N,Y,Y,sit,0.5,sit,run,run,sit,sit,run,run,run,18,,,
35,twice,FHA,grey,12,M,N,N,N,Y,sit,sit,sit,sit,sit,,N,sit,sit,sit,35,run,,N,,N,sit,run,run,run,sit,sit,sit,sit,run,sit,15,,,
36,twice,FHA,green,8,M,N,N,N,N,sit,sit,sit,sit,run,"short shrimps, .5 seconds or less",N,0.1,sit,sit,77,97,,N,,N,run,run,run,run,run,sit,run,run,run,run,14,,,
38,twice,FHA,striped,8,F,N,N,N,N,sit,sit,sit,sit,48,,Y,sit,sit,sit,31,sit,,Y,,N,sit,run,run,run,run,sit,run,run,run,run,14,,,
41,twice,FHA,striped,11,M,N,N,N,N,run,sit,run,run,run,,Y,run,run,sit,0.1,run,,N,,N,sit,run,run,run,run,run,sit,sit,run,run,15,,,
42,twice,FHA,green,11,F,N,N,N,N,run,sit,run,run,sit,,Y,sit,sit,sit,sit,run,,N,,N,sit,sit,run,run,run,sit,run,run,run,run,18,,,
47,twice,FHA,striped,8,F,N,N,N,N,sit,sit,sit,31,sit,,N,sit,31,sit,sit,sit,,N,Y,N,sit,sit,sit,sit,run,sit,0.5,run,run,run,16,,,
49,twice,FHA,green,12,M,N,N,N,N,sit,run,run,sit,run,,N,sit,sit,sit,68,sit,,N,,N,run,run,run,run,run,sit,run,run,run,run,14,,,
51,twice,FHA,striped,10,F,N,N,N,N,sit,sit,sit,sit,run,,Y,sit,33,sit,run,sit,,N,,N,sit,run,sit,run,run,sit,sit,run,run,run,17,,,
52,twice,FHA,striped,10,M,N,N,N,Y,run,sit,run,run,run,,N,112,run,run,0.1,64,,N,,N,sit,sit,sit,run,run,sit,run,run,run,run,15,,,
53,twice,FHA,striped,8,F,N,N,N,Y,266,sit,22,19,8,last shrimp playing dead on back,N,61,65,sit,sit,30,,Y,Y,N,115,0.5,sit,0.5,0.5,sit,0.5,run,run,sit,17,,,
54,twice,FHA,striped,11,M,N,N,N,Y,129,sit,268,sit,195,,N,run,run,0.1,0.5,sit,,Y,Y,N,0.5,run,run,sit,sit,sit,sit,sit,sit,sit,16,,,
55,twice,FHA,striped,13,M,N,N,N,Y,run,sit,run,run,sit,,N,0.1,sit,0.1,0.1,sit,,N,,N,sit,sit,run,run,run,run,run,run,run,run,14,,,
56,twice,FHA,striped,10,F,N,N,N,N,sit,sit,run,run,run,,N,sit,sit,sit,run,sit,,Y,,Y,sit,sit,sit,sit,sit,sit,sit,run,sit,sit,17,,,
57,twice,FHA,grey,11,M,N,N,Y,N,sit,sit,sit,sit,sit,"short shrimps, .5 seconds or less",N,sit,75,sit,0.1,sit,,N,,N,sit,sit,run,run,run,sit,sit,run,run,run,15,,,
61,twice,FHA,striped,8,F,N,N,N,N,run,run,run,run,run,,Y,sit,sit,run,sit,sit,,N,,N,sit,run,run,run,run,run,run,run,run,sit,13,,,
65,twice,FHA,striped,9,M,N,N,Y,Y,sit,sit,sit,sit,sit,,Y,50,run,run,run,run,,N,,N,sit,run,run,run,sit,run,run,run,run,run,15,,,
66,twice,FHA,striped,14,F,N,N,N,N,run,run,run,run,run,,Y,sit,sit,run,run,run,,N,,N,run,run,run,run,run,sit,0.5,run,run,run,22,,,
70,twice,FHA,green,9,M,N,N,N,N,sit,sit,run,run,run,,N,run,run,run,run,run,,N,,N,sit,run,sit,run,run,sit,run,run,run,run,14,,,
73,twice,FHA,striped,11,F,N,N,N,Y,sit,sit,sit,sit,sit,"short shrimps, .5 seconds or less",N,0.1,0.5,0.5,0.1,0.1,,N,,N,run,run,run,run,run,sit,run,run,run,run,14,,,
B1,shrimp,SRHWYA,boharti,,,NA,NA,Y,N,38,63,58,sit,sit,,NA,NA,NA,NA,NA,NA,molting,Y,,N,,,,,,,,,,,,,,
B2,shrimp,SRHWYA,boharti,,,NA,NA,Y,Y,run,sit,run,sit,sit,,N,168,1200,sit,sit,sit,"shrimped to 20 minutes, was harassed out of shrimping",Y,,N,,,,,,,,,,,,,,
B3,shrimp,SRHWYA,boharti,,,NA,NA,N,Y,sit,sit,sit,sit,sit,,Y,sit,sit,sit,sit,sit,,Y,,N,,,,,,,,,,,,,,
B4,shrimp,SRHWYA,boharti,,,NA,NA,N,Y,run,run,sit,sit,run,,N,run,run,0.1,sit,run,,Y,,N,,,,,,,,,,,,,,
