no,number,population,host,pop2,date,color,sex,age,size,t1Time,t2Time,t3Time,t1Beh,t2Beh,t3Beh,t4Beh,shmp,t1Lat,t1Dur,t2Lat,t2Dur,t3Lat,t3Dur,t4Lat,t4Dur,noShmp,noTim,pShmp,dummy
61,7,hv,a,hva,25/04/2012,green,female,adult,20,,,,sit,sit,,,0,,,,,,,,,0,6,0,
111,6,hv,c,hvc,25/04/2012,green,female,adult,20,18.5,11,12,run,run,shrimp,,1,,,,,5,165,,,2,5,0.4,
11,12,og,c,ogc,29/04/2012,green,female,adult,17,12,14,15,sit,run,shrimp,,1,,,,,3,170,,,3,11,0.272727273,
47,12,out,a,outa,24/04/2012,green,female,adult,20,,,,sit,run,sit,sit,0,,,,,,,,,7,12,0.583333333,
78,3,pr,c,prc,25/04/2012,green,female,adult,20,11,12,13,sit ,run,sit,,0,,,,,,,,,0,2,0,
80,5,pr,c,prc,25/04/2012,green,female,adult,16,11,12,13,shrimp,run,sit,,1,4,90,,,,,,,1,4,0.25,
84,9,pr,c,prc,25/04/2012,green,female,adult,20,11,12,13,sit,run,sit,,0,,,,,,,,,3,8,0.375,
85,10,pr,c,prc,25/04/2012,green,female,adult,20,11,12,13,run,run,run,,0,,,,,,,,,3,9,0.333333333,
88,13,pr,c,prc,25/04/2012,green,female,adult,21,11,12,13,sit,sit,run,,0,,,,,,,,,4,12,0.333333333,
89,14,pr,c,prc,25/04/2012,green,female,adult,23,11,12,13,run,sit,sit,,0,,,,,,,,,4,13,0.307692308,
92,17,pr,c,prc,25/04/2012,green,female,adult,23,11,12,13,run,run,run,,0,,,,,,,,,4,16,0.25,
93,18,pr,c,prc,25/04/2012,green,female,adult,22,11,12,13,run,run,run,,0,,,,,,,,,4,17,0.235294118,
95,20,pr,c,prc,25/04/2012,green,female,adult,22,11,12,13,run,sit,sit,,0,,,,,,,,,4,19,0.210526316,
97,13a,pr,c,prc,26/04/2012,green,female,adult,21,11,12,13,run,sit,sit,,0,,,,,,,,,5,21,0.238095238,
101,17a,pr,c,prc,26/04/2012,green,female,adult,21,11,12,13,sit,sit,run,,0,,,,,,,,,6,25,0.24,
102,18a,pr,c,prc,26/04/2012,green,female,adult,19,11,12,13,shrimp,sit,sit,,1,,,,,,,,,7,26,0.269230769,
103,19a,pr,c,prc,26/04/2012,green,female,adult,20,11,12,13,sit,sit,sit,,0,,,,,,,,,7,27,0.259259259,
104,20a,pr,c,prc,26/04/2012,green,female,adult,17,11,12,13,shrimp,shrimp,shrimp,,1,1,146,1,70,3,45,,,8,28,0.285714286,
159,2,s,c,sc,26/04/2012,green,female,adult,17,18,21,22,run,sit,sit,,0,,,,,,,,,0,1,0,
164,7,s,c,sc,26/04/2012,green,female,adult,19,18,21,22,run,sit,sit,,0,,,,,,,,,3,6,0.5,
170,13,s,c,sc,26/04/2012,green,female,adult,23,18,21,22,run,run,run,,0,,,,,,,,,6,12,0.5,
173,16,s,c,sc,26/04/2012,green,female,adult,23,18,21,22,run,sit,sit,,0,,,,,,,,,7,15,0.466666667,
27,9,r12,c,r12c,29/04/2012,green,female,adult,20,16.5,19.5,21,run,shrimp,sit,,1,,,5,355,,,,,2,8,0.25,
107,2,hv,c,hvc,25/04/2012,grey,female,adult,20,18.5,11,12,run,sit,sit,,0,,,,,,,,,0,1,0,
113,8,hv,c,hvc,25/04/2012,red,female,adult,20,18.5,11,12,run,run,run,,0,,,,,,,,,2,7,0.285714286,
81,6,pr,c,prc,25/04/2012,red,female,adult,18,11,12,13,shrimp,shrimp,run,,1,1,280,2,29,,,,,2,5,0.4,
67,13,hv,a,hva,25/04/2012,striped,female,adult,23,,,,sit,sit,,,0,,,,,,,,,1,12,0.083333333,
133,18,log,a,loga,27/04/2012,striped,female,adult,22,11,12,14,sit,sit,run,,0,,,,,,,,,4,17,0.235294118,
115,10,hv,c,hvc,25/04/2012,green,female,adult,23,18.5,11,12,run,run,run,,0,,,,,,,,,3,9,0.333333333,
58,4,hv,a,hva,25/04/2012,green,male,adult,17,,,,run,run,,,0,,,,,,,,,0,3,0,
79,4,pr,c,prc,25/04/2012,green,male,adult,16,11,12,13,sit ,run,run,,0,,,,,,,,,0,3,0,
82,7,pr,c,prc,25/04/2012,green,male,adult,14,11,12,13,run,run,run,,0,,,,,,,,,2,6,0.333333333,
86,11,pr,c,prc,25/04/2012,green,male,adult,14,11,12,13,run,run,shrimp,,1,,,,,3,246,,,4,10,0.4,
87,12,pr,c,prc,25/04/2012,green,male,adult,17,11,12,13,run,run,sit,,0,,,,,,,,,4,11,0.363636364,
90,15,pr,c,prc,25/04/2012,green,male,adult,16,11,12,13,run,run,run,,0,,,,,,,,,4,14,0.285714286,
91,16,pr,c,prc,25/04/2012,green,male,adult,16,11,12,13,run,run,run,,0,,,,,,,,,4,15,0.266666667,
94,19,pr,c,prc,25/04/2012,green,male,adult,18,11,12,13,run,run,run,,0,,,,,,,,,4,18,0.222222222,
96,12a,pr,c,prc,26/04/2012,green,male,adult,16,11,12,13,shrimp,shrimp,shrimp,,1,3,75,5,107,4,25,,,5,20,0.25,
105,21a,pr,c,prc,26/04/2012,green,male,adult,15,11,12,13,shrimp,sit,shrimp,,1,1,360,,,1,50,,,9,29,0.310344828,
26,8,r12,c,r12c,29/04/2012,green,male,adult,15,16.5,19.5,21,run,sit,sit,,0,,,,,,,,,1,7,0.142857143,
161,4,s,c,sc,26/04/2012,green,male,adult,15,18,21,22,shrimp,shrimp,shrimp,,1,3,360,2,360,3,360,,,2,3,0.666666667,
163,6,s,c,sc,26/04/2012,green,male,adult,15,18,21,22,run,run,run,,0,,,,,,,,,3,5,0.6,
168,11,s,c,sc,26/04/2012,green,male,adult,16,18,21,22,run,run,run,,0,,,,,,,,,6,10,0.6,
169,12,s,c,sc,26/04/2012,green,male,adult,16,18,21,22,sit,sit,sit,,0,,,,,,,,,6,11,0.545454545,
171,14,s,c,sc,26/04/2012,green,male,adult,16,18,21,22,sit,shrimp,shrimp,,1,,,5,275,3,360,,,7,13,0.538461538,
172,15,s,c,sc,26/04/2012,green,male,adult,14,18,21,22,run,sit,sit,,0,,,,,,,,,7,14,0.5,
174,17,s,c,sc,26/04/2012,green,male,adult,15,18,21,22,sit,sit,sit,,0,,,,,,,,,7,16,0.4375,
175,18,s,c,sc,26/04/2012,green,male,adult,,,,,shrimp,sit,sit,,1,4,360,,,,,,,8,17,0.470588235,X
22,4,r12,c,r12c,29/04/2012,green,male,adult,15,16.5,19.5,21,run,run,run,,0,,,,,,,,,0,3,0,
62,8,hv,a,hva,25/04/2012,grey,male,adult,16,,,,run,run,,,0,,,,,,,,,0,7,0,
114,9,hv,c,hvc,25/04/2012,red,male,adult,16,18.5,11,12,shrimp,shrimp,run,,1,3,350,4,139,,,,,3,8,0.375,
23,5,r12,c,r12c,29/04/2012,red,male,adult,15,16.5,19.5,21,shrimp,shrimp,shrimp,,1,2,239,2,360,4,360,,,1,4,0.25,
28,10,r12,c,r12c,29/04/2012,red,male,adult,16,16.5,19.5,21,run,run,run,,0,,,,,,,,,2,9,0.222222222,
57,3,hv,a,hva,25/04/2012,striped,male,adult,16,,,,run,sit,,,0,,,,,,,,,0,2,0,
72,18,hv,a,hva,25/04/2012,striped,male,adult,14,,,,sit,sit,,,0,,,,,,,,,2,17,0.117647059,
74,20,hv,a,hva,25/04/2012,striped,male,adult,17,,,,sit,shrimp,,,1,,,3,26,,,,,3,19,0.157894737,
112,7,hv,c,hvc,25/04/2012,striped,male,adult,16,18.5,11,12,run,sit,run,,0,,,,,,,,,2,6,0.333333333,
116,11,hv,c,hvc,25/04/2012,striped,male,adult,14,18.5,11,12,sit,sit,sit,,0,,,,,,,,,3,10,0.3,X
122,7,log,a,loga,27/04/2012,striped,male,adult,,11,12,14,run,run,run,,0,,,,,,,,,1,6,0.166666667,
138,2,og,a,oga,27/04/2012,striped,male,adult,13,13,14,15,run,run,run,,0,,,,,,,,,0,1,0,
143,7,og,a,oga,27/04/2012,striped,male,adult,15,13,14,15,sit,run,run,,0,,,,,,,,,0,6,0,
16,17,og,c,ogc,29/04/2012,striped,male,adult,15,12,14,15,shrimp,run,sit,,1,2,360,,,,,,,5,16,0.3125,
50,9,out,a,outa,24/04/2012,striped,male,adult,15,,,,sit,sit,sit,run,0,,,,,,,,,8,15,0.533333333,
54,13,out,a,outa,24/04/2012,striped,male,adult,14,,,,run,sit,sit,sit,0,,,,,,,,,9,19,0.473684211,
21,3,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,run,,0,,,,,,,,,0,2,0,
29,11,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,shrimp,,1,,,,,4,118,,,3,10,0.3,
33,16,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,run,run,,0,,,,,,,,,3,14,0.214285714,
35,19,r12,c,r12c,29/04/2012,striped,male,adult,14,16.5,19.5,21,run,run,run,,0,,,,,,,,,3,16,0.1875,X
32,14,r12,c,r12c,29/04/2012,striped,male,adult,15,16.5,19.5,21,run,sit,sit,,0,,,,,,,,,3,13,0.230769231,
25,7,r12,c,r12c,29/04/2012,green,female,adult,19,16.5,19.5,21,run,sit,sit,,0,,,,,,,,,1,6,0.166666667,
8,9,og,c,ogc,29/04/2012,striped,female,adult,18,12,14,15,sit,run,run,,0,,,,,,,,,1,8,0.125,
