number,pop,allo,pzise,gflow,host,pop2,date,unq,color,sex,age,size,t1Beh,t2Beh,t1shmp,t2shmp,shmp
5,hv,-1,66,0.34,a,hva,25/04/2012,hva5,dark,female,juvenile,9,sit,sit,0,0,0
8,hv,-1,66,0.34,a,hva,25/04/2012,hva8,dark,male,adult,16,run,run,0,0,0
11,hv,-1,66,0.34,a,hva,25/04/2012,hva11,dark,female,juvenile,7,sit,sit,0,0,0
4,hv,-1,66,0.34,a,hva,25/04/2012,hva4,green,male,adult,17,run,run,0,0,0
6,hv,-1,66,0.34,a,hva,25/04/2012,hva6,green,female,juvenile,12,sit,sit,0,0,0
7,hv,-1,66,0.34,a,hva,25/04/2012,hva7,green,female,adult,20,sit,sit,0,0,0
16,hv,-1,66,0.34,a,hva,25/04/2012,hva16,green,male,juvenile,13,sit,sit,0,0,0
23,hv,-1,66,0.34,a,hva,25/04/2012,hva23,green,female,juvenile,15,sit,sit,0,0,0
2,hv,-1,66,0.34,a,hva,25/04/2012,hva2,striped,male,juvenile,14,sit,sit,0,0,0
3,hv,-1,66,0.34,a,hva,25/04/2012,hva3,striped,male,adult,16,run,sit,0,0,0
9,hv,-1,66,0.34,a,hva,25/04/2012,hva9,striped,male,juvenile,14,sit,sit,0,0,0
10,hv,-1,66,0.34,a,hva,25/04/2012,hva10,striped,female,juvenile,21,run,sit,0,0,0
12,hv,-1,66,0.34,a,hva,25/04/2012,hva12,striped,female,juvenile,11,sit,shrimp,0,1,1
13,hv,-1,66,0.34,a,hva,25/04/2012,hva13,striped,female,adult,23,sit,sit,0,0,0
14,hv,-1,66,0.34,a,hva,25/04/2012,hva14,striped,female,juvenile,14,sit,sit,0,0,0
15,hv,-1,66,0.34,a,hva,25/04/2012,hva15,striped,female,juvenile,18,run,sit,0,0,0
17,hv,-1,66,0.34,a,hva,25/04/2012,hva17,striped,male,juvenile,14,shrimp,sit,1,0,1
18,hv,-1,66,0.34,a,hva,25/04/2012,hva18,striped,male,adult,14,sit,sit,0,0,0
19,hv,-1,66,0.34,a,hva,25/04/2012,hva19,striped,female,juvenile,20,sit,sit,0,0,0
20,hv,-1,66,0.34,a,hva,25/04/2012,hva20,striped,male,adult,17,sit,shrimp,0,1,1
21,hv,-1,66,0.34,a,hva,25/04/2012,hva21,striped,female,juvenile,16,run,run,0,0,0
2,hv,-1,34,0.66,c,hvc,25/04/2012,hvc2,dark,female,adult,20,run,sit,0,0,0
8,hv,-1,34,0.66,c,hvc,25/04/2012,hvc8,dark,female,adult,20,run,run,0,0,0
9,hv,-1,34,0.66,c,hvc,25/04/2012,hvc9,dark,male,adult,16,shrimp,shrimp,1,1,1
3,hv,-1,34,0.66,c,hvc,25/04/2012,hvc3,green,male,juvenile,12,run,run,0,0,0
4,hv,-1,34,0.66,c,hvc,25/04/2012,hvc4,green,female,juvenile,16,sit,run,0,0,0
6,hv,-1,34,0.66,c,hvc,25/04/2012,hvc6,green,female,adult,20,run,run,0,0,0
10,hv,-1,34,0.66,c,hvc,25/04/2012,hvc10,green,female ,adult,23,run,run,0,0,0
5,hv,-1,34,0.66,c,hvc,25/04/2012,hvc5,striped,female,juvenile,11,shrimp,sit,1,0,1
7,hv,-1,34,0.66,c,hvc,25/04/2012,hvc7,striped,male,adult,16,run,sit,0,0,0
11,hv,-1,34,0.66,c,hvc,25/04/2012,hvc11,striped,male,adult,14,sit,sit,0,0,0
10,log,-1,NA,NA,a,loga,27/04/2012,loga10,dark,male,juvenile,13,sit,run,0,0,0
9,log,-1,NA,NA,a,loga,27/04/2012,loga9,green,male,juvenile,10,sit,sit,0,0,0
12,log,-1,NA,NA,a,loga,27/04/2012,loga12,green,female,juvenile,14,sit,run,0,0,0
7,log,-1,NA,NA,a,loga,27/04/2012,loga7,striped,male,adult,,run,run,0,0,0
8,log,-1,NA,NA,a,loga,27/04/2012,loga8,striped,female,juvenile,16,run,run,0,0,0
13,log,-1,NA,NA,a,loga,27/04/2012,loga13,striped,male,juvenile,9,sit,shrimp,0,1,1
14,log,-1,NA,NA,a,loga,27/04/2012,loga14,striped,female,juvenile,12,sit,sit,0,0,0
15,log,-1,NA,NA,a,loga,27/04/2012,loga15,striped,female,juvenile,13,sit,sit ,0,0,0
16,log,-1,NA,NA,a,loga,27/04/2012,loga16,striped,female,juvenile,12,run,run,0,0,0
17,log,-1,NA,NA,a,loga,27/04/2012,loga17,striped,female,juvenile,14,sit,run,0,0,0
18,log,-1,NA,NA,a,loga,27/04/2012,loga18,striped,female,adult,22,sit,sit,0,0,0
19,log,-1,NA,NA,a,loga,27/04/2012,loga19,striped,female,juvenile,11,sit,shrimp,0,1,1
20,log,-1,NA,NA,a,loga,27/04/2012,loga20,striped,female,juvenile,13,sit,shrimp,0,1,1
21,log,-1,NA,NA,a,loga,27/04/2012,loga21,striped,female,juvenile,13,sit,shrimp,0,1,1
23,log,-1,NA,NA,a,loga,27/04/2012,loga23,striped,female,juvenile,14,run,run,0,0,0
19,og,-1,99,0.01,a,oga,27/04/2012,oga19,dark,female,juvenile,14,run,run,0,0,0
4,og,-1,99,0.01,a,oga,27/04/2012,oga4,green,male,juvenile,11,run,sit,0,0,0
2,og,-1,99,0.01,a,oga,27/04/2012,oga2,striped,male,adult,13,run,run,0,0,0
3,og,-1,99,0.01,a,oga,27/04/2012,oga3,striped,female,juvenile,10,sit,run,0,0,0
5,og,-1,99,0.01,a,oga,27/04/2012,oga5,striped,male,juvenile,12,run,run,0,0,0
6,og,-1,99,0.01,a,oga,27/04/2012,oga6,striped,male,juvenile,11,run,run,0,0,0
7,og,-1,99,0.01,a,oga,27/04/2012,oga7,striped,male,adult,15,sit,run,0,0,0
8,og,-1,99,0.01,a,oga,27/04/2012,oga8,striped,male,juvenile,13,run,run,0,0,0
9,og,-1,99,0.01,a,oga,27/04/2012,oga9,striped,male,juvenile,12,shrimp,run,1,0,1
10,og,-1,99,0.01,a,oga,27/04/2012,oga10,striped,female,juvenile,11,run,sit,0,0,0
12,og,-1,99,0.01,a,oga,27/04/2012,oga12,striped,female,juvenile,10,shrimp,run,1,0,1
13,og,-1,99,0.01,a,oga,27/04/2012,oga13,striped,female,juvenile,14,shrimp,sit,1,0,1
14,og,-1,99,0.01,a,oga,27/04/2012,oga14,striped,female,juvenile,15,sit,run,0,0,0
15,og,-1,99,0.01,a,oga,27/04/2012,oga15,striped,female,juvenile,15,run,sit,0,0,0
16,og,-1,99,0.01,a,oga,27/04/2012,oga16,striped,female,juvenile,14,sit,sit,0,0,0
17,og,-1,99,0.01,a,oga,27/04/2012,oga17,striped,female,juvenile,14,sit,sit,0,0,0
18,og,-1,99,0.01,a,oga,27/04/2012,oga18,striped,male,juvenile,13,run,run,0,0,0
20,og,-1,99,0.01,a,oga,27/04/2012,oga20,striped,male,juvenile,11,shrimp,run,1,0,1
21,og,-1,99,0.01,a,oga,27/04/2012,oga21,striped,female,juvenile,11,sit,sit,0,0,0
23,og,-1,99,0.01,a,oga,27/04/2012,oga23,striped,female,juvenile,11,run,run,0,0,0
16,og,-1,1,0.99,c,ogc,29/04/2012,ogc16,dark,male,juvenile,11,sit,run,0,0,0
3,og,-1,1,0.99,c,ogc,29/04/2012,ogc3,green,female,juvenile,17,run,run,0,0,0
5,og,-1,1,0.99,c,ogc,29/04/2012,ogc5,green,female,juvenile,15,sit,sit,0,0,0
6,og,-1,1,0.99,c,ogc,29/04/2012,ogc6,green,female,juvenile,14,run,sit ,0,0,0
7,og,-1,1,0.99,c,ogc,29/04/2012,ogc7,green,female,juvenile,12,shrimp,shrimp,1,1,1
8,og,-1,1,0.99,c,ogc,29/04/2012,ogc8,green,female,juvenile,16,sit,sit,0,0,0
12,og,-1,1,0.99,c,ogc,29/04/2012,ogc12,green,female,adult,17,sit,run,0,0,0
13,og,-1,1,0.99,c,ogc,29/04/2012,ogc13,green,female,juvenile,11,run,sit,0,0,0
