number,population,host,pop2,date,color,sex,age,size,t1Time,t2Time,t3Time,t1Beh,t2Beh,t3Beh,t4Beh,shmp,shmp12,t1Lat,t1Dur,t2Lat,t2Dur,t3Lat,t3Dur,t4Lat,t4Dur,lat12avg,dur12avg,noShmp,noTim,pShmp,dummy
2,og,c,ogc,29/04/2012,striped,female,juvenile,19,12,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
3,og,c,ogc,29/04/2012,green,female,juvenile,17,12,14,15,run,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
4,og,c,ogc,29/04/2012,striped,female,juvenile,14,12,14,15,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
5,og,c,ogc,29/04/2012,green,female,juvenile,15,12,14,15,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,4,0,
6,og,c,ogc,29/04/2012,green,female,juvenile,14,12,14,15,run,sit ,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,5,0,
7,og,c,ogc,29/04/2012,green,female,juvenile,12,12,14,15,shrimp,shrimp,shrimp,,1,1,2,222,2,299,1,105,,,2,260.5,1,6,0.166666667,
8,og,c,ogc,29/04/2012,green,female,juvenile,16,12,14,15,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,7,0.142857143,
9,og,c,ogc,29/04/2012,striped,female,adult ,18,12,14,15,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,8,0.125,
11,og,c,ogc,29/04/2012,striped,female,juvenile,16,12,14,15,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,9,0.111111111,
12,og,c,ogc,29/04/2012,green,female,adult,17,12,14,15,sit,run,shrimp,,1,0,,,,,3,170,,,#DIV/0!,#DIV/0!,2,10,0.2,
13,og,c,ogc,29/04/2012,green,female,juvenile,11,12,14,15,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,11,0.181818182,
15,og,c,ogc,29/04/2012,striped,female,juvenile,14,12,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,12,0.166666667,
19,og,c,ogc,29/04/2012,green,female,juvenile,14,12,14,15,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,13,0.153846154,
20,og,c,ogc,29/04/2012,striped,female,juvenile,15,12,14,15,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,14,0.142857143,X
2,r12,c,r12c,29/04/2012,green,female,juvenile,19,16.5,19.5,21,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
6,r12,c,r12c,29/04/2012,red,female,juvenile,17,16.5,19.5,21,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
7,r12,c,r12c,29/04/2012,green,female,adult ,19,16.5,19.5,21,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
9,r12,c,r12c,29/04/2012,green ,female,adult,20,16.5,19.5,21,run,shrimp,sit,,1,1,,,5,355,,,,,5,355,1,4,0.25,
12,r12,c,r12c,29/04/2012,green,female,juvenile,12,16.5,19.5,21,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,5,0.2,
13,r12,c,r12c,29/04/2012,striped ,female,juvenile ,17,16.5,19.5,21,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,6,0.166666667,
17,r12,c,r12c,29/04/2012,green,female,juvenile,17,16.5,19.5,21,sit,sit,run,,0,0,,360,,,,,,,#DIV/0!,360,1,7,0.142857143,X
21,out,a,outa,24/04/2012,green,female,juvenile,19,,,,shrimp,sit,shrimp,shrimp,1,1,,64,,,1,31,3,100,#DIV/0!,64,1,1,1,
14,out,a,outa,24/04/2012,grey,female,juvenile,13,,,,sit,shrimp,run,run,1,1,,,,33,,,,,#DIV/0!,33,2,2,1,
23,out,a,outa,24/04/2012,striped,female,juvenile,14,,,,shrimp,run,sit,sit,1,1,1,,,,,,,,1,#DIV/0!,3,3,1,
19,out,a,outa,24/04/2012,green,female,juvenile,13,,,,run,run,run,sit,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,4,0.75,
12,out,a,outa,24/04/2012,green,female,adult,20,,,,sit,run,sit,sit,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,5,0.6,
3,out,a,outa,24/04/2012,striped,female,juvenile,16,,,,shrimp,sit,shrimp,shrimp,1,1,1,136,,,3,90,2,70,1,136,4,6,0.666666667,
15,out,a,outa,24/04/2012,green,female,juvenile,17,,,,run,run,run,run,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,7,0.571428571,X
5,hv,a,hva,25/04/2012,grey,female,juvenile,9,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
6,hv,a,hva,25/04/2012,green,female,juvenile,12,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
7,hv,a,hva,25/04/2012,green,female,adult,20,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
10,hv,a,hva,25/04/2012,striped,female,juvenile,21,,,,run,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,4,0,
11,hv,a,hva,25/04/2012,red,female,juvenile,7,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,5,0,
12,hv,a,hva,25/04/2012,striped,female,juvenile,11,,,,sit,shrimp,,,1,1,,,4,37,,,,,4,37,1,6,0.166666667,
13,hv,a,hva,25/04/2012,striped,female,adult,23,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,7,0.142857143,
14,hv,a,hva,25/04/2012,striped,female,juvenile,14,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,8,0.125,
15,hv,a,hva,25/04/2012,striped,female,juvenile,18,,,,run,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,9,0.111111111,
19,hv,a,hva,25/04/2012,striped,female,juvenile,20,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,10,0.1,
21,hv,a,hva,25/04/2012,striped,female,juvenile,16,,,,run,run,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,11,0.090909091,
23,hv,a,hva,25/04/2012,green,female,juvenile,15,,,,sit,sit,,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,1,12,0.083333333,X
2,pr,c,prc,25/04/2012,green,female,juvenile,15,11,12,13,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
3,pr,c,prc,25/04/2012,green,female,adult,20,11,12,13,sit ,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
5,pr,c,prc,25/04/2012,green,female,adult,16,11,12,13,shrimp,run,sit,,1,1,4,90,,,,,,,4,90,1,3,0.333333333,
6,pr,c,prc,25/04/2012,red,female,adult,18,11,12,13,shrimp,shrimp,run,,1,1,1,280,2,29,,,,,1.5,154.5,2,4,0.5,
8,pr,c,prc,25/04/2012,green,female,juvenile,14,11,12,13,shrimp,sit,shrimp,,1,1,3,139,,,3,47,,,3,139,3,5,0.6,
9,pr,c,prc,25/04/2012,green,female,adult,20,11,12,13,sit,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,6,0.5,
10,pr,c,prc,25/04/2012,green,female,adult,20,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,7,0.428571429,
13,pr,c,prc,25/04/2012,green,female,adult,21,11,12,13,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,8,0.375,
14,pr,c,prc,25/04/2012,green,female,adult,23,11,12,13,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,9,0.333333333,
17,pr,c,prc,25/04/2012,green,female,adult,23,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,10,0.3,
18,pr,c,prc,25/04/2012,green,female,adult,22,11,12,13,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,11,0.272727273,
20,pr,c,prc,25/04/2012,green,female,adult,22,11,12,13,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,12,0.25,
13a,pr,c,prc,26/04/2012,green,female,adult,21,11,12,13,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,13,0.230769231,
14a,pr,c,prc,26/04/2012,green,female,juvenile,15,11,12,13,sit,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,14,0.214285714,
15a,pr,c,prc,26/04/2012,green,female,juvenile,15,11,12,13,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,3,15,0.2,
16a,pr,c,prc,26/04/2012,green,female,juvenile,12,11,12,13,shrimp,shrimp,shrimp,,1,1,,,,,,,,,#DIV/0!,#DIV/0!,4,16,0.25,
17a,pr,c,prc,26/04/2012,green,female,adult,21,11,12,13,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,4,17,0.235294118,
18a,pr,c,prc,26/04/2012,green,female,adult,19,11,12,13,shrimp,sit,sit,,1,1,,,,,,,,,#DIV/0!,#DIV/0!,5,18,0.277777778,
19a,pr,c,prc,26/04/2012,green,female,adult,20,11,12,13,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,5,19,0.263157895,
20a,pr,c,prc,26/04/2012,green,female,adult,17,11,12,13,shrimp,shrimp,shrimp,,1,1,1,146,1,70,3,45,,,1,108,6,20,0.3,
23a,pr,c,prc,26/04/2012,green,female,juvenile,17,11,12,13,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,6,21,0.285714286,X
2,hv,c,hvc,25/04/2012,grey,female,adult,20,18.5,11,12,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
4,hv,c,hvc,25/04/2012,green,female,juvenile,16,18.5,11,12,sit,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
5,hv,c,hvc,25/04/2012,striped,female,juvenile,11,18.5,11,12,shrimp,sit,run,,1,1,2,360,,,,,,,2,360,1,3,0.333333333,
6,hv,c,hvc,25/04/2012,green,female,adult,20,18.5,11,12,run,run,shrimp,,1,0,,,,,5,165,,,#DIV/0!,#DIV/0!,2,4,0.5,
8,hv,c,hvc,25/04/2012,red,female,adult,20,18.5,11,12,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,5,0.4,X
8,log,a,loga,27/04/2012,striped,female,juvenile,16,11,12,14,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
12,log,a,loga,27/04/2012,green ,female,juvenile,14,11,12,14,sit,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
14,log,a,loga,27/04/2012,striped,female,juvenile,12,11,12,14,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,3,0,
15,log,a,loga,27/04/2012,striped,female,juvenile,13,11,12,14,sit,sit ,shrimp,,1,0,,,,,2,107,,,#DIV/0!,#DIV/0!,1,4,0.25,
16,log,a,loga,27/04/2012,striped,female,juvenile,12,11,12,14,run,run,shrimp,,1,0,,,,,2,16,,,#DIV/0!,#DIV/0!,2,5,0.4,
17,log,a,loga,27/04/2012,striped,female,juvenile,14,11,12,14,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,6,0.333333333,
18,log,a,loga,27/04/2012,striped,female,adult,22,11,12,14,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,7,0.285714286,
19,log,a,loga,27/04/2012,striped,female,juvenile,11,11,12,14,sit,shrimp,run,,1,1,,,3,61,,,,,3,61,3,8,0.375,
20,log,a,loga,27/04/2012,striped,female,juvenile,13,11,12,14,sit,shrimp,shrimp,,1,1,,,2,67,5,68,,,2,67,4,9,0.444444444,
21,log,a,loga,27/04/2012,striped,female,juvenile,13,11,12,14,sit,shrimp,run,,1,1,,,1,360,,,,,1,360,5,10,0.5,
23,log,a,loga,27/04/2012,striped,female,juvenile,14,11,12,14,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,5,11,0.454545455,X
3,og,a,oga,27/04/2012,striped,female,juvenile,10,13,14,15,sit,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
10,og,a,oga,27/04/2012,striped,female,juvenile,11,13,14,15,run,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,2,0,
12,og,a,oga,27/04/2012,striped,female,juvenile,10,13,14,15,shrimp,run,sit,,1,1,3,360,,,,,,,3,360,1,3,0.333333333,
13,og,a,oga,27/04/2012,striped,female,juvenile,14,13,14,15,shrimp,sit,sit,,1,1,4,23,,,,,,,4,23,2,4,0.5,
14,og,a,oga,27/04/2012,striped,female,juvenile,15,13,14,15,sit,run,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,5,0.4,
15,og,a,oga,27/04/2012,striped,female,juvenile,15,13,14,15,run,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,6,0.333333333,
16,og,a,oga,27/04/2012,striped,female,juvenile,14,13,14,15,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,7,0.285714286,
17,og,a,oga,27/04/2012,striped,female,juvenile,14,13,14,15,sit,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,8,0.25,
19,og,a,oga,27/04/2012,grey,female,juvenile,14,13,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,9,0.222222222,
21,og,a,oga,27/04/2012,striped,female,juvenile,11,13,14,15,sit,sit,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,10,0.2,
23,og,a,oga,27/04/2012,striped,female,juvenile,11,13,14,15,run,run,run,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,2,11,0.181818182,X
2,s,c,sc,26/04/2012,green,female,adult,17,18,21,22,run,sit,sit,,0,0,,,,,,,,,#DIV/0!,#DIV/0!,0,1,0,
3,s,c,sc,26/04/2012,green,female,juvenile,13,18,21,22,shrimp,sit,run,,1,1,4,10,,,,,,,4,10,1,2,0.5,
5,s,c,sc,26/04/2012,green,female,juvenile,14,18,21,22,shrimp,run,sit,,1,1,4,282,,,,,,,4,282,2,3,0.666666667,
